year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2002,ACCESS-ESM1-5,r1i1p1f1,historical,43.92,34.22,34.31,44.47,56.43,7.93,50.85,41.81
2003,ACCESS-ESM1-5,r1i1p1f1,historical,41.67,30.97,36.51,50.94,56.67,6.93,56.67,43.07
2004,ACCESS-ESM1-5,r1i1p1f1,historical,38.14,22.95,36.05,27.34,52.24,6.46,52.81,39.43
2005,ACCESS-ESM1-5,r1i1p1f1,historical,44.96,41.43,40.47,39.22,50.39,7.61,45.77,42.45
2006,ACCESS-ESM1-5,r1i1p1f1,historical,51.42,55.6,34.82,76.83,61.94,8.8,56.54,48.25
2007,ACCESS-ESM1-5,r1i1p1f1,historical,49.78,29.6,38.16,45.93,53.12,7.57,55.86,44.19
2008,ACCESS-ESM1-5,r1i1p1f1,historical,55.3,38.25,37.42,37.09,54.9,6.84,49.9,44.62
2009,ACCESS-ESM1-5,r1i1p1f1,historical,48.37,47.4,36.79,44.74,54.24,8.25,47.26,43.61
2010,ACCESS-ESM1-5,r1i1p1f1,historical,35.7,39.47,38.31,44.22,53.7,8.34,51.08,41.59
2011,ACCESS-ESM1-5,r1i1p1f1,historical,34.27,33.68,41.56,46.59,59.3,8.69,61.66,44.77
2012,ACCESS-ESM1-5,r1i1p1f1,historical,46.65,30.51,37.81,36.63,57.97,8.41,52.41,43.37
2013,ACCESS-ESM1-5,r1i1p1f1,historical,55.03,37.65,35.91,32.81,61.48,8.63,52.68,45.55
2014,ACCESS-ESM1-5,r1i1p1f1,historical,40.88,30.39,38.03,37.39,49.43,7.3,50.69,40.71
2015,ACCESS-ESM1-5,r1i1p1f1,ssp370,35.37,30.12,34.07,36.94,53.44,10.25,50.28,39.08
2016,ACCESS-ESM1-5,r1i1p1f1,ssp370,32.86,31.93,37.05,37.22,55.03,9.29,49.66,39.72
2017,ACCESS-ESM1-5,r1i1p1f1,ssp370,26.83,22.42,30.51,32.72,51.78,6.56,46.13,34.31
2018,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.56,26.86,38.81,38.21,53.38,8.77,49.93,40.49
2019,ACCESS-ESM1-5,r1i1p1f1,ssp370,47.46,34.65,33.37,45.7,49.16,7.94,47.74,40.59
2020,ACCESS-ESM1-5,r1i1p1f1,ssp370,45.58,46.5,37.31,41.83,51.0,8.55,57.6,44.69
2021,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.22,31.72,36.28,39.33,55.56,9.31,54.32,42.34
2022,ACCESS-ESM1-5,r1i1p1f1,ssp370,46.41,33.32,42.3,60.56,54.32,9.78,59.22,46.47
2023,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.97,34.66,34.46,43.92,54.51,11.92,55.11,41.51
2024,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.45,49.52,38.54,64.14,46.48,9.44,50.9,42.42
2025,ACCESS-ESM1-5,r1i1p1f1,ssp370,21.91,26.24,35.01,38.08,60.5,8.89,51.67,37.71
2026,ACCESS-ESM1-5,r1i1p1f1,ssp370,25.17,21.48,35.4,37.09,56.35,6.38,54.02,37.73
2027,ACCESS-ESM1-5,r1i1p1f1,ssp370,43.2,37.3,39.88,40.48,50.54,6.96,49.61,42.36
2028,ACCESS-ESM1-5,r1i1p1f1,ssp370,52.3,45.33,39.43,53.59,50.01,9.59,47.68,44.71
2029,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.57,38.24,36.47,45.79,54.82,8.57,51.56,41.59
2030,ACCESS-ESM1-5,r1i1p1f1,ssp370,33.09,23.19,37.11,39.12,54.54,9.94,47.87,38.62
2031,ACCESS-ESM1-5,r1i1p1f1,ssp370,45.86,33.08,36.8,33.95,45.21,7.12,49.0,40.48
2032,ACCESS-ESM1-5,r1i1p1f1,ssp370,45.64,38.69,34.86,42.46,53.57,9.04,51.02,42.33
2033,ACCESS-ESM1-5,r1i1p1f1,ssp370,29.18,23.22,35.21,36.23,55.33,7.95,49.07,37.5
2034,ACCESS-ESM1-5,r1i1p1f1,ssp370,46.58,48.18,40.88,49.22,55.59,8.01,61.49,47.73
2035,ACCESS-ESM1-5,r1i1p1f1,ssp370,35.28,34.57,35.92,42.73,49.82,7.84,47.06,38.9
2036,ACCESS-ESM1-5,r1i1p1f1,ssp370,45.15,29.73,36.75,43.34,58.28,7.79,52.64,42.94
2037,ACCESS-ESM1-5,r1i1p1f1,ssp370,44.72,48.11,33.16,47.72,54.11,9.48,49.46,42.46
2038,ACCESS-ESM1-5,r1i1p1f1,ssp370,62.46,52.13,42.98,57.36,56.49,9.54,55.69,51.0
2039,ACCESS-ESM1-5,r1i1p1f1,ssp370,70.88,53.82,36.76,48.06,58.58,9.49,54.72,50.77
2040,ACCESS-ESM1-5,r1i1p1f1,ssp370,30.15,29.22,36.08,37.42,60.28,7.23,50.2,39.46
2041,ACCESS-ESM1-5,r1i1p1f1,ssp370,48.91,41.19,38.17,47.14,53.57,9.94,55.06,45.15
2042,ACCESS-ESM1-5,r1i1p1f1,ssp370,28.03,39.02,33.65,46.9,54.93,10.57,52.27,39.29
2043,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.26,21.21,38.32,30.3,60.23,11.01,50.62,41.73
2044,ACCESS-ESM1-5,r1i1p1f1,ssp370,47.85,41.93,39.6,44.21,54.92,9.97,52.44,45.04
2045,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.48,47.03,38.36,49.35,67.41,11.23,60.39,47.75
