year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1976,ACCESS-ESM1-5,r1i1p1f1,historical,1.21,1.1,2.44,2.63,4.28,0.84,6.13,3.03
1976,ACCESS-ESM1-5,r2i1p1f1,historical,18.74,8.34,8.0,4.81,4.89,2.91,7.9,9.29
1977,ACCESS-ESM1-5,r1i1p1f1,historical,0.09,3.07,2.38,5.21,5.16,3.96,2.26,2.54
1977,ACCESS-ESM1-5,r2i1p1f1,historical,5.78,10.04,1.18,6.21,3.05,3.32,0.69,3.29
1978,ACCESS-ESM1-5,r1i1p1f1,historical,0.0,0.9,1.87,1.45,2.12,2.62,2.9,1.69
1978,ACCESS-ESM1-5,r2i1p1f1,historical,0.06,1.13,1.87,1.83,1.63,1.29,0.88,1.19
1979,ACCESS-ESM1-5,r1i1p1f1,historical,0.59,4.1,2.86,1.0,1.83,1.61,4.09,2.54
1979,ACCESS-ESM1-5,r2i1p1f1,historical,1.75,7.09,3.71,7.71,3.06,4.93,0.72,3.12
1980,ACCESS-ESM1-5,r1i1p1f1,historical,6.03,5.04,4.85,1.28,5.31,4.21,7.71,5.61
1980,ACCESS-ESM1-5,r2i1p1f1,historical,2.31,1.26,1.0,2.2,1.47,4.5,2.41,1.81
1981,ACCESS-ESM1-5,r1i1p1f1,historical,1.66,1.1,5.76,2.93,2.91,4.95,5.88,4.04
1981,ACCESS-ESM1-5,r2i1p1f1,historical,0.09,0.18,3.16,1.13,0.45,1.63,0.74,1.29
1982,ACCESS-ESM1-5,r1i1p1f1,historical,0.76,0.41,2.47,1.58,2.36,6.02,0.97,1.77
1982,ACCESS-ESM1-5,r2i1p1f1,historical,3.2,5.63,5.02,4.52,2.05,5.13,5.73,4.43
1983,ACCESS-ESM1-5,r1i1p1f1,historical,1.95,2.81,1.35,4.39,2.51,4.83,0.5,1.83
1983,ACCESS-ESM1-5,r2i1p1f1,historical,5.95,2.61,2.71,1.44,3.58,2.4,2.86,3.43
