year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2002,ACCESS-ESM1-5,r1i1p1f1,historical,2.48,2.11,2.89,8.08,4.91,2.42,3.14,3.2
2003,ACCESS-ESM1-5,r1i1p1f1,historical,2.47,0.8,1.81,3.96,3.19,1.75,2.35,2.21
2004,ACCESS-ESM1-5,r1i1p1f1,historical,1.58,0.29,4.17,1.72,4.55,1.18,5.05,3.35
2005,ACCESS-ESM1-5,r1i1p1f1,historical,3.7,2.7,5.32,3.09,2.54,1.4,1.05,3.26
2006,ACCESS-ESM1-5,r1i1p1f1,historical,8.21,10.69,2.51,8.21,7.2,3.22,6.09,5.95
2007,ACCESS-ESM1-5,r1i1p1f1,historical,5.54,1.27,4.47,1.65,3.02,1.82,4.01,3.88
2008,ACCESS-ESM1-5,r1i1p1f1,historical,6.21,2.93,5.41,4.52,4.54,0.89,3.65,4.62
2009,ACCESS-ESM1-5,r1i1p1f1,historical,5.09,11.36,4.08,7.85,4.31,5.16,1.71,4.66
2010,ACCESS-ESM1-5,r1i1p1f1,historical,1.07,4.12,5.07,4.4,3.98,4.29,5.24,4.05
2011,ACCESS-ESM1-5,r1i1p1f1,historical,1.0,2.63,8.69,8.93,8.73,4.91,11.45,7.06
2012,ACCESS-ESM1-5,r1i1p1f1,historical,5.85,1.86,4.98,2.61,2.81,2.56,3.79,4.12
2013,ACCESS-ESM1-5,r1i1p1f1,historical,9.91,3.9,4.0,2.1,7.56,4.09,5.82,5.95
2014,ACCESS-ESM1-5,r1i1p1f1,historical,2.4,1.09,4.71,2.61,3.04,1.66,5.3,3.62
2015,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.62,3.16,2.08,4.87,3.16,15.2,3.09,2.92
2016,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.7,2.37,3.39,3.29,2.31,3.47,4.32,2.82
2017,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.03,0.57,0.86,1.45,1.71,1.1,1.13,0.88
2018,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.12,0.97,3.64,2.88,4.68,2.38,4.32,3.12
2019,ACCESS-ESM1-5,r1i1p1f1,ssp370,7.36,2.09,3.96,3.32,3.16,2.48,2.45,3.93
2020,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.32,7.6,7.53,5.27,2.45,4.89,4.91,5.67
2021,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.51,3.28,5.13,5.77,8.68,4.01,5.7,5.25
2022,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.73,2.83,8.08,6.1,4.28,11.63,8.72,6.44
2023,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.73,2.94,3.1,3.04,4.43,11.74,5.24,3.83
2024,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.72,11.06,5.9,12.29,4.2,8.93,4.73,5.79
2025,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.04,1.18,1.89,3.19,9.64,5.25,3.47,3.1
