year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1976,ACCESS-ESM1-5,r1i1p1f1,historical,37.34,29.82,34.77,38.6,55.4,5.88,53.21,40.36
1976,ACCESS-ESM1-5,r2i1p1f1,historical,65.93,38.25,39.28,40.17,54.33,8.84,55.61,48.43
1977,ACCESS-ESM1-5,r1i1p1f1,historical,29.21,32.39,34.26,35.95,57.84,9.38,47.78,38.24
1977,ACCESS-ESM1-5,r2i1p1f1,historical,51.21,55.92,31.93,60.78,48.85,8.52,44.57,42.61
1978,ACCESS-ESM1-5,r1i1p1f1,historical,28.01,28.03,32.74,35.31,49.27,8.05,48.14,35.9
1978,ACCESS-ESM1-5,r2i1p1f1,historical,26.41,27.84,32.71,40.91,44.12,7.72,44.18,34.16
1979,ACCESS-ESM1-5,r1i1p1f1,historical,33.18,36.21,33.36,36.85,53.89,7.07,51.97,39.28
1979,ACCESS-ESM1-5,r2i1p1f1,historical,35.68,38.75,35.1,43.19,54.82,9.4,46.38,39.79
1980,ACCESS-ESM1-5,r1i1p1f1,historical,50.77,44.28,37.03,32.19,53.0,8.22,56.6,45.21
1980,ACCESS-ESM1-5,r2i1p1f1,historical,43.1,37.25,30.92,49.25,44.51,8.52,47.32,38.63
1981,ACCESS-ESM1-5,r1i1p1f1,historical,43.62,30.3,42.79,42.16,51.87,10.62,56.2,44.38
1981,ACCESS-ESM1-5,r2i1p1f1,historical,24.6,16.59,38.27,36.23,41.55,7.82,42.57,33.59
1982,ACCESS-ESM1-5,r1i1p1f1,historical,36.03,25.1,36.26,33.31,54.34,8.32,45.55,38.38
1982,ACCESS-ESM1-5,r2i1p1f1,historical,47.61,38.83,36.77,51.1,49.57,13.67,55.61,44.06
1983,ACCESS-ESM1-5,r1i1p1f1,historical,38.49,29.79,31.35,42.42,55.61,8.85,42.85,37.73
1983,ACCESS-ESM1-5,r2i1p1f1,historical,51.72,33.38,37.5,34.49,53.32,8.49,52.45,43.79
1984,ACCESS-ESM1-5,r1i1p1f1,historical,66.96,43.48,44.0,42.21,58.18,9.09,57.74,51.58
1984,ACCESS-ESM1-5,r2i1p1f1,historical,65.56,38.79,44.04,37.54,53.49,7.1,52.6,48.95
1985,ACCESS-ESM1-5,r1i1p1f1,historical,30.33,22.87,31.21,25.18,48.05,6.48,48.06,34.87
1985,ACCESS-ESM1-5,r2i1p1f1,historical,43.55,37.49,38.28,45.56,61.47,10.16,60.27,45.99
